sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,windspeed,winddirec,datacreationdate,unit,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
鳳山,高雄市,72,細懸浮微粒,普通,0.8,0.62,16.4,11.1,35,21,18.5,23.4,4.9,0.3,277,"2024-11-18 16:00",,0.8,24.1,44,1,120.357422,22.628126,50
仁武,高雄市,71,細懸浮微粒,普通,2.6,0.57,19.4,15.2,35,21,17.7,21.5,3.8,2.4,343,"2024-11-18 16:00",,0.5,23.8,41,1,120.332631,22.689056,49
橋頭,高雄市,68,細懸浮微粒,普通,1.6,0.3,21.3,18.2,35,19,15.4,18.1,2.7,2.4,2,"2024-11-18 16:00",,0.3,22.3,41,1,120.305689,22.757506,48
美濃,高雄市,51,細懸浮微粒,普通,,0.36,21,12.6,30,15,10.2,11.9,1.6,1.2,317,"2024-11-18 16:00",,0.2,15.7,28,0,120.530542,22.883583,47
臺南,臺南市,51,懸浮微粒,普通,1.2,0.29,33.5,28.9,47,10,16.1,17.4,1.3,3.3,14,"2024-11-18 16:00",,0.3,11.8,51,0,120.21947897,22.98928311,46
安南,臺南市,50,,良好,,,31.2,,54,13,,,,2.8,340,"2024-11-18 16:00",,,11.8,50,1,120.2175,23.048197,45
善化,臺南市,38,,良好,1.8,0.22,36.1,31.8,39,13,9.2,11.2,2,4.1,13,"2024-11-18 16:00",,0.2,11.7,33,1,120.29740529,23.11337642,44
新營,臺南市,48,,良好,1.5,0.32,32,34.1,98,17,13,14.7,1.7,3.4,16,"2024-11-18 16:00",,0.2,11.1,48,1,120.31725,23.305633,43
嘉義,嘉義市,42,,良好,,,31.3,31.2,40,14,,,,3.9,18,"2024-11-18 16:00",,0.2,12.8,30,4,120.44125148,23.46477865,42
臺西,雲林縣,51,懸浮微粒,普通,1.2,0.21,36.4,39.4,39,10,6.7,7,0.2,9.4,23,"2024-11-18 16:00",,0.1,13.2,51,1,120.19933333,23.702175,41
朴子,嘉義縣,73,懸浮微粒,普通,2.6,0.28,33,37.2,68,12,10,12.2,2.1,2.4,354,"2024-11-18 16:00",,0.2,10.3,73,1,120.2478,23.46538,40
新港,嘉義縣,57,懸浮微粒,普通,2,0.19,36.3,39.6,43,10,9,10.6,1.6,4.6,17,"2024-11-18 16:00",,0.1,11.7,57,2,120.345531,23.554839,39
崙背,雲林縣,97,懸浮微粒,普通,1,0.21,31.9,36.8,44,15,8,9.1,1,1.8,16,"2024-11-18 16:00",,0.2,16.5,97,0,120.348742,23.757547,38
斗六,雲林縣,37,,良好,1.9,0.24,31.5,35.9,42,21,11.1,13,1.8,2.5,350,"2024-11-18 16:00",,0.2,11.4,26,1,120.544994,23.711853,37
南投,南投縣,29,,良好,1.1,0.27,23.2,31.2,27,8,17.1,19.3,2.2,1.4,338,"2024-11-18 16:00",,0.3,7.6,20,1,120.685306,23.913,36
二林,彰化縣,38,,良好,1.3,0.2,36.7,41.6,27,6,6.8,7.5,0.7,3.8,25,"2024-11-18 16:00",,0.2,6.8,33,1,120.409653,23.925175,35
線西,彰化縣,35,,良好,1.3,0.17,36.3,38.9,22,3,7.5,8.3,0.7,8.2,37,"2024-11-18 16:00",,0.1,7.6,29,1,120.469061,24.131672,34
彰化,彰化縣,31,,良好,0.8,0.26,26.5,34.4,16,6,13.3,15,1.7,2.4,22,"2024-11-18 16:00",,0.2,5.6,16,0,120.541519,24.066,33
西屯,臺中市,31,,良好,1.2,0.18,31.7,34.2,,3,6.2,7.4,1.2,3.6,11,"2024-11-18 16:00",,0.1,2.5,,1,120.616917,24.162197,32
忠明,臺中市,29,,良好,,,22.3,31.4,,,,,,2,334,"2024-11-18 16:00",,0.2,3.8,17,1,120.641092,24.151958,31
大里,臺中市,30,,良好,1.5,0.25,26.5,32.9,19,8,11.5,13.8,2.3,2.4,3,"2024-11-18 16:00",,0.2,5.4,14,1,120.67844444,24.09961111,30
沙鹿,臺中市,35,,良好,,,,38.0,,,,,,3.8,276,"2024-11-18 16:00",,0.1,5.6,24,0,120.568794,24.225628,29
豐原,臺中市,32,,良好,0.9,0.22,31,35.8,6,3,6.6,7.2,0.6,2.2,18,"2024-11-18 16:00",,0.2,2,11,0,120.74252414,24.25699731,28
三義,苗栗縣,36,,良好,0.6,0.17,35.6,39.3,12,4,5.3,6.2,0.8,6,16,"2024-11-18 16:00",,,4.1,10,0,120.75956754,24.38248443,27
苗栗,苗栗縣,36,,良好,1.9,0.16,37.4,39.8,17,6,5.5,6.5,1,4.6,17,"2024-11-18 16:00",,0.1,4.8,16,1,120.82011468,24.56499183,26
頭份,苗栗縣,36,,良好,1.6,0.18,36.5,39.9,19,7,7.2,8.9,1.6,4.8,52,"2024-11-18 16:00",,0.1,8.2,19,1,120.89869286,24.69690679,25
新竹,新竹市,31,,良好,1,0.22,31.5,34.1,18,6,11.5,12.7,1.1,4.1,33,"2024-11-18 16:00",,0.2,7,20,1,120.97236752,24.8056356,24
竹東,新竹縣,37,,良好,0.5,0.15,38.7,40.2,20,5,3.5,4.6,1,7,39,"2024-11-18 16:00",,0.1,2.8,12,0,121.08895493,24.74091408,23
湖口,新竹縣,34,,良好,1.4,0.17,36.4,37.1,10,10,6.1,7.6,1.4,7.6,48,"2024-11-18 16:00",,0.1,7,17,1,121.03886894,24.90009696,22
龍潭,桃園市,32,,良好,0.4,0.18,,35.6,,7,9.9,11.9,2,6.8,59,"2024-11-18 16:00",,0.1,7.1,12,0,121.21645772,24.86400048,21
平鎮,桃園市,32,,良好,0.9,0.29,31.2,30.6,21,11,10.9,13.1,2.2,4.1,80,"2024-11-18 16:00",,0.3,9.8,21,0,121.203986,24.952786,20
觀音,桃園市,35,,良好,1.7,0.16,38.1,37.8,26,11,5.9,6.6,0.7,7.9,80,"2024-11-18 16:00",,0.1,10.8,34,1,121.08283092,25.03556747,19
大園,桃園市,34,,良好,1.9,0.19,32.8,33.2,25,11,12.8,15.3,2.4,6.3,62,"2024-11-18 16:00",,0.1,10.4,30,1,121.20251473,25.06100357,18
桃園,桃園市,28,,良好,1.1,0.28,31.3,30.3,17,6,11.4,13.2,1.8,2.6,52,"2024-11-18 16:00",,0.3,8.7,20,0,121.30500531,24.9947107,17
大同,臺北市,47,,良好,0.9,0.57,16.8,18.4,25,13,28.3,53.4,25.1,-,-,"2024-11-18 16:00",,0.5,14.2,26,0,121.51342074,25.06331455,16
松山,臺北市,-1,,,,,20.4,,25,7,,,,1.4,24,"2024-11-18 16:00",,,,,,121.578611,25.05,15
古亭,臺北市,33,,良好,0.8,0.28,25.4,24.2,24,8,16.3,20.2,3.9,2.4,58,"2024-11-18 16:00",,0.2,10.3,29,0,121.529556,25.020608,14
萬華,臺北市,25,,良好,1.1,0.25,26.7,26.3,23,7,15.4,17.7,2.3,2.8,104,"2024-11-18 16:00",,0.2,7.7,25,0,121.507972,25.046503,13
中山,臺北市,37,,良好,0.3,0.32,23.7,24.0,21,9,19,23.5,4.4,2,76,"2024-11-18 16:00",,0.3,11.3,24,0,121.526528,25.062361,12
士林,臺北市,34,,良好,0.4,0.2,36.9,37.9,15,7,6.7,8.2,1.4,1.3,72,"2024-11-18 16:00",,0.1,6.1,16,0,121.51666356,25.10334003,11
淡水,新北市,35,,良好,1.1,0.16,38.8,38.4,15,10,3.7,4.9,1.2,,,"2024-11-18 16:00",,0.1,7.6,19,0,121.449239,25.1645,10
林口,新北市,32,,良好,0.8,0.21,22,25.1,23,7,19.2,25.9,6.7,3.3,48,"2024-11-18 16:00",,0.2,6.1,20,0,121.36548982,25.07798949,9
菜寮,新北市,31,,良好,0.7,0.26,33.7,33.8,18,8,10.2,11,0.8,2.8,76,"2024-11-18 16:00",,0.2,8.8,18,0,121.481028,25.06895,8
新莊,新北市,34,,良好,0.8,0.23,32.2,33.3,32,7,9.9,12.2,2.2,3.4,86,"2024-11-18 16:00",,0.2,10.4,27,0,121.4325,25.037972,7
板橋,新北市,28,,良好,0.5,0.28,31.9,31.0,19,5,14.9,16.8,1.8,3.1,108,"2024-11-18 16:00",,0.2,7.7,21,0,121.458667,25.012972,6
土城,新北市,29,,良好,2.3,0.25,30.1,31.4,29,9,13.9,15.6,1.6,1.4,154,"2024-11-18 16:00",,0.2,7.3,22,0,121.451861,24.982528,5
新店,新北市,31,,良好,0.8,0.23,29,30.6,20,7,10.6,12.2,1.5,1.4,96,"2024-11-18 16:00",,0.2,9.6,17,0,121.537778,24.977222,4
萬里,新北市,68,懸浮微粒,普通,0.3,0.15,44.6,44.3,72,15,1.8,3.2,1.3,7.7,39,"2024-11-18 16:00",,0.1,15,68,0,121.689881,25.179667,3
汐止,新北市,30,,良好,1.9,0.16,30.6,32.4,18,8,11.7,13.3,1.6,2.6,38,"2024-11-18 16:00",,0.1,7.2,21,0,121.64081,25.06624,2
基隆,基隆市,36,,良好,1.2,0.18,35.4,39.3,25,3,2.4,3.2,0.7,1.8,93,"2024-11-18 16:00",,0.1,6,27,0,121.760056,25.129167,1
屏東(枋山),屏東縣,31,,良好,0.5,0.15,39,34.6,4,0,1.5,1.7,0.1,4.4,80,"2024-11-18 15:00",,0.1,2.7,11,0,120.651472,22.260899,313
宜蘭（頭城）,宜蘭縣,35,,良好,0,0.14,40.5,38.3,22,7,2.5,2.4,0,2.1,51,"2024-11-18 15:00",,0.1,7,20,0,121.82463916,24.85366672,312
新北(樹林),新北市,30,,良好,0.8,0.24,23,24.8,14,6,18.7,24.1,5.3,0.1,158,"2024-11-18 15:00",,0.4,7,16,0,121.38352778,24.94902778,311
屏東（琉球）,屏東縣,71,細懸浮微粒,普通,1.7,0.43,25.1,15.6,44,25,21.8,26.5,4.6,3.1,336,"2024-11-18 15:00",,0.3,23.5,42,1,120.37722,22.35222,204
臺南（麻豆）,臺南市,58,懸浮微粒,普通,0.8,0.25,36.7,31.6,73,16,9.7,11.2,1.5,2.3,358,"2024-11-18 15:00",,0.2,10.2,58,0,120.24583056,23.17904722,203
高雄（湖內）,高雄市,-1,,,,,22.1,,38,11,,,,1.6,52,"2024-11-18 15:00",,,,,,120.24535,22.87985556,202
彰化（員林）,彰化縣,31,,良好,1.4,0.22,33.5,34.0,23,7,10.2,11.6,1.4,1.4,354,"2024-11-18 15:00",,0.2,6.1,23,1,120.56373,23.96117,201
大城,彰化縣,53,細懸浮微粒,普通,1.1,0.18,41.3,44.4,41,16,5,6.1,1,8.1,47,"2024-11-18 15:00",,0.1,16.3,45,1,120.26964167,23.85493056,85
富貴角,新北市,48,,良好,0.2,0.13,47.2,47.0,42,11,0.5,0.5,0,13.3,46,"2024-11-18 15:00",,0.1,13.1,48,0,121.53656894,25.29681695,84
麥寮,雲林縣,85,懸浮微粒,普通,1.5,0.26,,39.6,,,8.8,10,1.1,,,"2024-11-18 15:00",,0.2,17.1,85,2,120.251825,23.753506,83
關山,臺東縣,33,,良好,1.4,0.17,36.9,36.7,12,5,4.4,6.4,1.9,2.9,20,"2024-11-18 15:00",,0.1,4.5,15,1,121.161933,23.045083,80
馬公,澎湖縣,42,,良好,0.5,0.14,46.2,45.5,31,14,1.3,1.9,0.5,10.4,28,"2024-11-18 15:00",,0.1,12.2,32,0,119.566158,23.569031,78
金門,金門縣,39,,良好,0.6,0.17,44.2,42.2,31,7,3.8,4.7,0.8,3.3,39,"2024-11-18 15:00",,0.1,8.6,35,0,118.312256,24.432133,77
馬祖,連江縣,39,,良好,0.5,0.15,45.3,42.5,25,10,2.9,3.6,0.6,3.3,333,"2024-11-18 15:00",,0.1,11.3,30,0,119.952724,26.153736,75
埔里,南投縣,37,,良好,1.2,0.2,27.5,18.0,18,10,3.9,6.1,2.2,1.5,292,"2024-11-18 15:00",,0.2,11.5,17,1,120.967903,23.968842,72
復興,高雄市,90,細懸浮微粒,普通,,,18,9.0,51,36,,,,1.8,91,"2024-11-18 15:00",,0.7,31.2,48,1,120.312017,22.608711,71
永和,新北市,32,,良好,,,,28.3,,10,,,,2.1,96,"2024-11-18 15:00",,0.4,10,22,0,121.516306,25.017,70
竹山,南投縣,38,,良好,1.4,0.25,35.1,29.5,42,16,7.9,9.1,1.1,1.5,139,"2024-11-18 15:00",,0.2,11.7,24,1,120.677306,23.756389,69
中壢,桃園市,39,,良好,1.1,0.57,19.4,17.1,28,10,23,41.9,18.9,1.3,273,"2024-11-18 15:00",,0.7,12,28,1,121.221667,24.953278,68
三重,新北市,52,二氧化氮,普通,0.3,0.85,13.5,11.2,34,11,33.1,77.5,44.4,-,-,"2024-11-18 15:00",,0.8,12.1,35,0,121.493806,25.072611,67
冬山,宜蘭縣,31,,良好,1,0.16,32,34.3,30,11,7.9,9.3,1.4,0.7,273,"2024-11-18 15:00",,0.1,6.6,22,0,121.792928,24.632203,66
宜蘭,宜蘭縣,33,,良好,1.2,0.18,,36.0,21,5,,,,2,54,"2024-11-18 15:00",,0.2,9.9,19,0,121.746394,24.747917,65
陽明,臺北市,40,,良好,0.7,0.17,43.6,43.7,6,2,0.6,0.9,0.3,1.2,170,"2024-11-18 15:00",,0.1,2.6,9,0,121.529583,25.182722,64
花蓮,花蓮縣,38,,良好,1.3,0.2,41,41.7,34,9,3.1,3.6,0.5,3.5,81,"2024-11-18 15:00",,0.2,8.7,32,1,121.599769,23.971306,63
臺東,臺東縣,31,,良好,1.3,0.24,32.7,34.9,12,3,4.6,6.5,1.8,1.4,308,"2024-11-18 15:00",,0.2,3.2,13,1,121.15045,22.755358,62
恆春,屏東縣,40,,良好,0.9,0.15,42.8,43.6,23,10,1.1,1.5,0.4,14.5,31,"2024-11-18 15:00",,0.1,9.3,15,1,120.788928,21.958069,61
潮州,屏東縣,55,細懸浮微粒,普通,0.6,0.25,25.6,14.3,31,19,9.6,11.4,1.8,1.4,348,"2024-11-18 15:00",,0.2,17.2,34,0,120.561175,22.523108,60
屏東,屏東縣,72,細懸浮微粒,普通,1.6,0.42,24.1,13.5,42,26,18.9,22.5,3.5,3,357,"2024-11-18 15:00",,0.4,24,48,1,120.488033,22.673081,59
小港,高雄市,67,細懸浮微粒,普通,1,0.5,20.5,10.0,44,25,30.7,36.6,5.9,1.7,29,"2024-11-18 15:00",,0.6,22.1,44,1,120.337736,22.565833,58
前鎮,高雄市,77,細懸浮微粒,普通,2.1,0.64,21.5,11.4,57,32,25.9,32.7,6.7,3.6,30,"2024-11-18 15:00",,0.6,26.1,47,2,120.30833356,22.6044507,57
前金,高雄市,70,細懸浮微粒,普通,0.8,0.49,22.1,11.5,69,33,26.9,33.7,6.7,4,29,"2024-11-18 15:00",,0.4,23.4,53,1,120.28676111,22.63390278,56
左營,高雄市,61,細懸浮微粒,普通,1.4,0.45,25.3,14.3,59,25,19.7,23.6,3.9,4,18,"2024-11-18 15:00",,0.4,19.5,47,1,120.292917,22.674861,54
楠梓,高雄市,55,細懸浮微粒,普通,1.5,0.35,19.2,14,52,19,21.1,25.9,4.8,3.5,50,"2024-11-18 15:00",,0.3,17.1,43,2,120.328289,22.733667,53
林園,高雄市,73,細懸浮微粒,普通,2.2,0.55,21.8,13.5,58,35,28.4,33.5,5.1,3.4,335,"2024-11-18 15:00",,0.3,24.5,54,2,120.41175,22.4795,52
大寮,高雄市,69,細懸浮微粒,普通,10.3,0.5,,7.6,,,32.7,39.4,6.6,2.4,45,"2024-11-18 15:00",,0.5,22.7,33,1,120.425311,22.56413611,51
鳳山,高雄市,75,細懸浮微粒,普通,1.3,0.62,17.9,9.2,55,30,26.8,34.1,7.3,0.6,242,"2024-11-18 15:00",,0.9,25.2,48,1,120.357422,22.628126,50
仁武,高雄市,75,細懸浮微粒,普通,2.5,0.62,20.3,13.2,43,30,24.4,30.3,5.8,4.5,354,"2024-11-18 15:00",,0.4,25.3,45,1,120.332631,22.689056,49
橋頭,高雄市,69,細懸浮微粒,普通,2,0.35,23.1,16.7,42,24,19.9,23.9,3.9,3.5,21,"2024-11-18 15:00",,0.3,22.8,42,1,120.305689,22.757506,48
美濃,高雄市,47,,良好,,0.32,,10.2,24,,11.6,13.8,2.1,1.9,10,"2024-11-18 15:00",,0.2,14.5,27,0,120.530542,22.883583,47
臺南,臺南市,50,,良好,1.3,0.3,33.2,28,63,15,15.7,17.5,1.7,3.7,11,"2024-11-18 15:00",,0.3,12.2,50,0,120.21947897,22.98928311,46
安南,臺南市,49,,良好,,,,,,,,,,,,"2024-11-18 15:00",,0.3,11.1,49,1,120.2175,23.048197,45
善化,臺南市,35,,良好,1.7,0.2,35.3,30.6,47,12,8.5,10.4,1.9,2.6,13,"2024-11-18 15:00",,0.2,10.7,30,1,120.29740529,23.11337642,44
新營,臺南市,37,,良好,1.3,0.23,41,33.6,45,10,9.2,10.5,1.2,2.5,31,"2024-11-18 15:00",,0.2,10.2,37,1,120.31725,23.305633,43
嘉義,嘉義市,41,,良好,2.6,0.26,,30.2,40,18,10.3,11.8,1.4,1.7,38,"2024-11-18 15:00",,0.2,12.7,27,4,120.44125148,23.46477865,42
臺西,雲林縣,53,懸浮微粒,普通,0.9,0.2,38.8,39.8,46,13,5.6,5.9,0.2,7.4,25,"2024-11-18 15:00",,0.1,14.7,53,1,120.19933333,23.702175,41
朴子,嘉義縣,77,懸浮微粒,普通,2.3,0.26,37.5,37.1,95,11,8.3,10.5,2.1,2.2,348,"2024-11-18 15:00",,0.2,9.4,77,1,120.2478,23.46538,40
新港,嘉義縣,56,懸浮微粒,普通,2.5,0.26,37.8,39.4,125,20,10.1,11.9,1.7,2.9,5,"2024-11-18 15:00",,0.1,11.5,56,2,120.345531,23.554839,39
崙背,雲林縣,99,懸浮微粒,普通,1.4,0.28,33.9,37,60,16,9.5,11,1.4,1.8,7,"2024-11-18 15:00",,0.2,15.7,99,0,120.348742,23.757547,38
斗六,雲林縣,32,,良好,1.6,0.22,41.6,35.2,30,13,8.8,10.7,1.8,1.8,338,"2024-11-18 15:00",,0.2,9.1,22,1,120.544994,23.711853,37
南投,南投縣,29,,良好,1.4,0.25,32.9,31.7,25,8,13.4,14.9,1.4,1.3,351,"2024-11-18 15:00",,0.3,8,19,1,120.685306,23.913,36
二林,彰化縣,38,,良好,1.2,0.19,39.3,41.8,30,8,6.6,7.3,0.7,5.8,25,"2024-11-18 15:00",,0.2,7,35,1,120.409653,23.925175,35
線西,彰化縣,35,,良好,1.3,0.17,37.8,38.7,21,6,6.8,7.9,1.1,7.7,34,"2024-11-18 15:00",,0.1,8.5,31,1,120.469061,24.131672,34
彰化,彰化縣,32,,良好,0.8,0.23,30.8,35.1,21,5,11.4,13.6,2.2,3,24,"2024-11-18 15:00",,0.2,5.6,17,0,120.541519,24.066,33
西屯,臺中市,31,,良好,1.1,0.18,34.2,35.0,,2,5.1,6.5,1.4,4.1,6,"2024-11-18 15:00",,0.1,2.4,,1,120.616917,24.162197,32
忠明,臺中市,30,,良好,1.2,0.25,26.6,32.5,20,4,13,15.9,2.9,2.6,327,"2024-11-18 15:00",,0.2,4.1,16,1,120.641092,24.151958,31
大里,臺中市,31,,良好,1.2,0.22,32.5,33.2,18,6,8.6,10.8,2.2,2.3,3,"2024-11-18 15:00",,0.2,4.5,13,1,120.67844444,24.09961111,30
沙鹿,臺中市,34,,良好,1,0.18,34.4,38.0,22,5,7.6,9.1,1.4,4.3,34,"2024-11-18 15:00",,0.1,6,25,0,120.568794,24.225628,29
豐原,臺中市,32,,良好,1.4,0.2,33.6,36.0,15,3,5.5,6.3,0.8,1.9,4,"2024-11-18 15:00",,0.2,1.8,12,0,120.74252414,24.25699731,28
三義,苗栗縣,36,,良好,0.5,,36.5,39.8,7,5,5.1,6.1,0.9,5.9,17,"2024-11-18 15:00",,,4.1,10,0,120.75956754,24.38248443,27
苗栗,苗栗縣,36,,良好,1.8,0.17,38.5,39.8,15,4,4.7,5.9,1.2,4.7,18,"2024-11-18 15:00",,0.1,4.7,18,1,120.82011468,24.56499183,26
頭份,苗栗縣,36,,良好,1.4,0.18,39.3,39.9,20,8,6,7.8,1.7,4.3,46,"2024-11-18 15:00",,0.1,8.4,21,1,120.89869286,24.69690679,25
新竹,新竹市,31,,良好,0.9,0.22,32.2,34.3,17,8,10.9,12.4,1.4,4,32,"2024-11-18 15:00",,0.2,7.4,21,1,120.97236752,24.8056356,24
竹東,新竹縣,37,,良好,0.4,0.15,39.5,40.4,8,4,3.4,4.4,0.9,7.3,26,"2024-11-18 15:00",,0.1,2.4,11,0,121.08895493,24.74091408,23
湖口,新竹縣,34,,良好,1.3,0.17,36.1,37.3,14,7,5.8,7.4,1.5,7.7,42,"2024-11-18 15:00",,0.1,6.7,20,1,121.03886894,24.90009696,22
龍潭,桃園市,32,,良好,0.3,0.16,34.4,35.6,8,,6.9,8.4,1.4,,,"2024-11-18 15:00",,0.1,7.3,12,0,121.21645772,24.86400048,21
平鎮,桃園市,31,,良好,1,0.26,31.9,30.2,21,9,10.7,13.3,2.5,3.9,71,"2024-11-18 15:00",,0.3,9.5,23,0,121.203986,24.952786,20
觀音,桃園市,36,,良好,1.7,0.16,37,38.0,32,11,6.4,7.3,0.9,7.6,75,"2024-11-18 15:00",,0.1,11,36,1,121.08283092,25.03556747,19
大園,桃園市,36,,良好,1.9,0.2,31.7,33.5,22,7,14.2,17.2,2.9,6.1,54,"2024-11-18 15:00",,0.1,11.2,32,1,121.20251473,25.06100357,18
桃園,桃園市,31,,良好,0.9,0.26,32.9,29.9,21,8,11.4,13.6,2.2,2.8,49,"2024-11-18 15:00",,0.3,9.7,22,0,121.30500531,24.9947107,17
大同,臺北市,47,,良好,0.9,0.44,19.3,17.7,24,15,23.8,42.3,18.5,-,-,"2024-11-18 15:00",,0.5,14.5,28,0,121.51342074,25.06331455,16
松山,臺北市,-1,,,,,26.6,,22,1,,,,2.4,19,"2024-11-18 15:00",,,,,,121.578611,25.05,15
古亭,臺北市,36,,良好,0.4,0.25,25.5,24.9,44,17,15.3,19.9,4.5,2.4,56,"2024-11-18 15:00",,0.2,11.2,30,0,121.529556,25.020608,14
萬華,臺北市,27,,良好,1.1,0.25,25.9,26.4,26,4,15.5,18.4,2.8,3.1,97,"2024-11-18 15:00",,0.2,8.4,27,0,121.507972,25.046503,13
中山,臺北市,37,,良好,0.3,0.31,24.9,24.1,22,11,17.5,21.9,4.3,2.6,73,"2024-11-18 15:00",,0.3,11.4,26,0,121.526528,25.062361,12
士林,臺北市,35,,良好,0.3,0.18,38.5,38.0,16,7,5.5,6.7,1.2,2.3,81,"2024-11-18 15:00",,0.1,6.2,18,0,121.51666356,25.10334003,11
淡水,新北市,35,,良好,1.1,0.15,38.7,38.5,12,6,3.6,4.8,1.2,1.6,30,"2024-11-18 15:00",,0.1,7.5,22,0,121.449239,25.1645,10
林口,新北市,24,,良好,0.8,0.2,26.2,26.4,21,4,12.3,16.4,4,3,41,"2024-11-18 15:00",,0.2,6.4,20,0,121.36548982,25.07798949,9
菜寮,新北市,31,,良好,0.8,0.23,35.2,33.6,15,8,9,9.9,0.9,3.3,76,"2024-11-18 15:00",,0.2,9.3,19,0,121.481028,25.06895,8
新莊,新北市,36,,良好,0.8,0.21,34.2,33.2,23,11,8.8,10.1,1.3,5.1,74,"2024-11-18 15:00",,0.2,11.2,27,0,121.4325,25.037972,7
板橋,新北市,29,,良好,0.6,0.27,31.9,31.2,19,6,15.7,17.7,2,2.9,83,"2024-11-18 15:00",,0.3,8.5,23,0,121.458667,25.012972,6
土城,新北市,29,,良好,1.6,0.24,30.7,31.8,23,7,12,13.7,1.7,1.1,134,"2024-11-18 15:00",,0.2,7.3,21,0,121.451861,24.982528,5
新店,新北市,33,,良好,0.9,0.23,30.1,31.0,12,9,9.7,11.2,1.4,0.7,79,"2024-11-18 15:00",,0.2,10.3,16,0,121.537778,24.977222,4
萬里,新北市,67,懸浮微粒,普通,0.3,0.15,44.7,44.6,64,13,1.6,3.1,1.4,9.3,57,"2024-11-18 15:00",,0.1,15,67,0,121.689881,25.179667,3
汐止,新北市,30,,良好,1.3,0.15,33.7,32.9,20,7,9.1,10.4,1.2,3.1,36,"2024-11-18 15:00",,0.1,7.4,22,0,121.64081,25.06624,2
基隆,基隆市,37,,良好,,,30.9,40.3,,4,,,,2,85,"2024-11-18 15:00",,0.1,6.8,28,0,121.760056,25.129167,1
屏東(枋山),屏東縣,31,,良好,0.5,0.15,39,34.6,4,0,1.5,1.7,0.1,4.4,80,"2024-11-18 15:00",,0.1,2.7,11,0,120.651472,22.260899,313
宜蘭（頭城）,宜蘭縣,35,,良好,0,0.14,40.5,38.3,22,7,2.5,2.4,0,2.1,51,"2024-11-18 15:00",,0.1,7,20,0,121.82463916,24.85366672,312
新北(樹林),新北市,30,,良好,0.8,0.24,23,24.8,14,6,18.7,24.1,5.3,0.1,158,"2024-11-18 15:00",,0.4,7,16,0,121.38352778,24.94902778,311
屏東（琉球）,屏東縣,71,細懸浮微粒,普通,1.7,0.43,25.1,15.6,44,25,21.8,26.5,4.6,3.1,336,"2024-11-18 15:00",,0.3,23.5,42,1,120.37722,22.35222,204
臺南（麻豆）,臺南市,58,懸浮微粒,普通,0.8,0.25,36.7,31.6,73,16,9.7,11.2,1.5,2.3,358,"2024-11-18 15:00",,0.2,10.2,58,0,120.24583056,23.17904722,203
高雄（湖內）,高雄市,-1,,,,,22.1,,38,11,,,,1.6,52,"2024-11-18 15:00",,,,,,120.24535,22.87985556,202
彰化（員林）,彰化縣,31,,良好,1.4,0.22,33.5,34.0,23,7,10.2,11.6,1.4,1.4,354,"2024-11-18 15:00",,0.2,6.1,23,1,120.56373,23.96117,201
大城,彰化縣,53,細懸浮微粒,普通,1.1,0.18,41.3,44.4,41,16,5,6.1,1,8.1,47,"2024-11-18 15:00",,0.1,16.3,45,1,120.26964167,23.85493056,85
富貴角,新北市,48,,良好,0.2,0.13,47.2,47.0,42,11,0.5,0.5,0,13.3,46,"2024-11-18 15:00",,0.1,13.1,48,0,121.53656894,25.29681695,84
麥寮,雲林縣,85,懸浮微粒,普通,1.5,0.26,,39.6,,,8.8,10,1.1,,,"2024-11-18 15:00",,0.2,17.1,85,2,120.251825,23.753506,83
關山,臺東縣,33,,良好,1.4,0.17,36.9,36.7,12,5,4.4,6.4,1.9,2.9,20,"2024-11-18 15:00",,0.1,4.5,15,1,121.161933,23.045083,80
馬公,澎湖縣,42,,良好,0.5,0.14,46.2,45.5,31,14,1.3,1.9,0.5,10.4,28,"2024-11-18 15:00",,0.1,12.2,32,0,119.566158,23.569031,78
金門,金門縣,39,,良好,0.6,0.17,44.2,42.2,31,7,3.8,4.7,0.8,3.3,39,"2024-11-18 15:00",,0.1,8.6,35,0,118.312256,24.432133,77
馬祖,連江縣,39,,良好,0.5,0.15,45.3,42.5,25,10,2.9,3.6,0.6,3.3,333,"2024-11-18 15:00",,0.1,11.3,30,0,119.952724,26.153736,75
埔里,南投縣,37,,良好,1.2,0.2,27.5,18.0,18,10,3.9,6.1,2.2,1.5,292,"2024-11-18 15:00",,0.2,11.5,17,1,120.967903,23.968842,72
復興,高雄市,90,細懸浮微粒,普通,,,18,9.0,51,36,,,,1.8,91,"2024-11-18 15:00",,0.7,31.2,48,1,120.312017,22.608711,71
永和,新北市,32,,良好,,,,28.3,,10,,,,2.1,96,"2024-11-18 15:00",,0.4,10,22,0,121.516306,25.017,70
竹山,南投縣,38,,良好,1.4,0.25,35.1,29.5,42,16,7.9,9.1,1.1,1.5,139,"2024-11-18 15:00",,0.2,11.7,24,1,120.677306,23.756389,69
中壢,桃園市,39,,良好,1.1,0.57,19.4,17.1,28,10,23,41.9,18.9,1.3,273,"2024-11-18 15:00",,0.7,12,28,1,121.221667,24.953278,68
三重,新北市,52,二氧化氮,普通,0.3,0.85,13.5,11.2,34,11,33.1,77.5,44.4,-,-,"2024-11-18 15:00",,0.8,12.1,35,0,121.493806,25.072611,67
